question,answer,intent
아 모자라요 그러면 그 콜라는 추가로 오나요,콜라는 별도입니다,서비스문의
그러면 음료수는 서비스 오는 게 있나요?,네 500미리 콜라 나가요,서비스문의
무는 나가는 거 따로 없죠?,무는 한 개 나갑니다,서비스문의
음료수는 안 나와요 콜라?,한 마리 하시면 500미리 나갑니다,서비스문의
여기 소스는 뭐 뭐 나옵니까? 프라이드에,양념소스 하나 머스터드 하나요,서비스문의
그러면 양념은 뭐 뭐 나오나요? 아 양념이 아니라  소스 그 나오는 사이드 있잖아요 허니 머스터드 콜라 무 이런 거,메뉴마다 소스 들어가는 게 다 틀려요,서비스문의
여기 나올 때 소스는 뭐 뭐 왔었죠? 소스가 허니 뭐 있더라,소스가 소금구이 할 때는 머스터드소스 나갑니다.,서비스문의
네 무도 오는 거 아닌가요,네 무는갑니다,서비스문의
허니 스파클링. 콜라 아니에요?,네 콜라는 따로 구매하셔야 돼요,서비스문의
그리고 음료수도 오지요?,네 기본 음료수는 허니 스파클링 나가요,서비스문의
그러면 포장에는 따로네요,네 그렇죠,서비스문의
다른 거는 추가로 더 사야 한다고요?,네 소스 같은 건 500원씩 구입을 하셔야 돼요,서비스문의
그러니까 12000원 프라이드 값에 소스가 소금 나가고 또 포장하면 뭐 있어요?,소금밖에 안 나가요,서비스문의
그렇구나 배달에는 그러면 무하고 콜라하고 같이 들어가고요?,다섯 마리면 콜라는 들어가는데 고깃값도 비싸고 퀵까지 있어요 그래서 더 비싸죠,서비스문의
한 개당 한 마리씩요 저희들 그니까 무는 필요 안 하거든요 그래서 혹시 무를 빼면 다른 콜라로 바꿔주실 수 있나 해서요,아니요 콜라로 못 바꿔드리죠,서비스변경주문문의
그러면 무를 빼고 콜라로 바꿔주실 수는 있어요?,그런 거는 안되세요 고객님,서비스변경주문문의
선결제하고 문 앞에 두고 가주실 수 있나요?,미리 결제해주시면 그렇게 해 드리겠습니다.,선결제문의
결제는 미리 하고 갈 건데요?,네 결제는 미리 해주세요,선결제문의
불고기 피자 치킨세트에 프라이드치킨으로 오는 건가요?,네 맞습니다,세트메뉴구성문의
세트 3번 시키려고 하는데 짜장 2에 탕수육 1 맞나요,네 손님 맞습니다,세트메뉴구성문의
중간 사이즈 두 개짜리도 있나요?,네 작은 거요,세트메뉴구성문의
세트로 시키면 서비스로 오는 게 있나요?,군만두 서비스 있습니다.,세트메뉴서비스문의
세트로 시켜야 되나요,네,세트메뉴서비스문의
짬뽕이랑 볶음밥이랑 탕수육 세트 있나요?,죄송하지만 없습니다,세트메뉴종류문의
세트메뉴는 없어요?,짜장면이랑 탕수육 세트 있습니다,세트메뉴종류문의
피자는 종류가 고기 종류로 나눠지나요?,"고기, 해산물, 파인애플, 감자, 고구마 콤비네이션, 고기류 피자, 해산물, 매콤한 것도 있습니다",세트메뉴종류문의
그렇게만 있나요? 세트메뉴도 있나요 따로?,아뇨 저희는 세트메뉴 없어요 따로,세트메뉴종류문의
그러면 세트메뉴도 있어요 짬뽕 들어간 세트메뉴?,짬뽕 두 개 들어간 세트메뉴 있어요,세트메뉴종류문의
아 그러면 세트 메뉴는 따로?,세트 메뉴도 있어요,세트메뉴종류문의
"오, 세트로 묶어주세요!","네, 알겠습니다.",세트메뉴주문
그럼 세트 2번에 짜장면 하나를 짬뽕으로 바꿔도 되나요?,네 500원 추가하시면 됩니다,세트메뉴중메뉴교환문의요청
"오, 세트로 묶으면 얼마가 할인되는 거죠 ??",마리당 천 원으로 총 2000원 할인되네요.,세트메뉴할인문의
네 저희는 머스터드는 안 먹어서 머스터드는 빼고요. 매운 소스는 핫 소스를 말씀하시는 건가요?,네,소스정보문의
소스는 근데 뭐 뭐 나오죠?,소스는 매운 소스하고 머스터드소스가 나와요,소스정보문의
어린이 포크도 있나요?,저희는 포크는 없습니다,수저요구
아 젓가락 3개 보내주세요,챙겨드릴게요,수저요구
소주도 한 병 부탁합니다,알겠습니다,술배달문의요청
콜라는 따로 주문해야 하나요?,작은 콜라를 서비스로 드리고 있습니다,식사배달요청
그러면 갈비맛 치킨 순살로 부탁드립니다,네 40분 정도 소요될 것 같습니다,식사배달요청
치킨 주문하려고 하는데요,네 말씀 하세요,식사배달요청
스모크 통다리 하나랑 콜라 큰 거 주문할게요,콜라 일 점이 오 리터 추가하시면 추가 금액이 천오백 원 발생됩니다,식사배달요청
양념치킨이랑 간장치킨 순살로 주문 가능한가요?,네 순살 가능합니다,식사배달요청
그럼 자장면 1개 짬뽕 1개 주문할게요,네 자장면 1개 짬뽕 1개 12000원입니다,식사배달요청
순살치킨도 가능한가요?,순살은 오늘 매진됐어요,식사배달요청
치즈볼로 가져다주세요,네 치즈볼은 200원 추가됩니다,식사배달요청
그럼 이벤트 피자와 핫윙 10조각 배달 부탁드립니다,네 등록되어있는 주소로 1시간 안에 배달해 드리겠습니다,식사배달요청
짬짜면 하나랑 짬뽕하나요,만 원입니다,식사배달요청
그럼 양념치킨으로 주세요,네 16000원입니다,식사배달요청
지금 치킨 주문 가능한가요?,네 가능합니다,식사배달요청
그럼 그걸로 주문할게요,네 금방 배달해드릴게요,식사배달요청
그럼 일반 짜장면 2개에 홍합 짬뽕 1개 배달 부탁드려요,네 배달은 30분 정도 소요되세요,식사배달요청
네 자메이카 통달이 구이 하나와 콜라 1리터 주문할게요,네 한 40분 정도 소요됩니다,식사배달요청
그럼 그냥 프라이드치킨 두 마리로 해주세요,네 프라이드로 준비해 드릴게요,식사배달요청
양념치킨 두 마리요,죄송한데 지금 프라이드만 주문 가능하신데요,식사배달요청
짜장면 1그릇 배달해주세요,1그릇만 배달하면 배달비도 계산해주셔야 해요,식사배달요청
세트 1번 갖다 주실 수 있나요?,가능합니다,식사배달요청
그럼 지금 볼케이노 치킨 한 마리 주문 가능할까요?,죄송합니다 지금은 볼게 이 논 소스가 품절이 되어서 다른 메뉴로 주문 부탁드립니다,식사배달요청
짜장면 짬뽕 울면 각각 하나씩이랑 탕수육 소자 주문할게요,네 알겠습니다,식사배달요청
짜장면 하나 탕수육 중 하나 짬뽕 두 개 하려고 해요,네 탕수육 중에 짜장면 하나 짬뽕 둘이요,식사배달요청
그럼 크림소스 스파게티 하나랑 치킨 양념 반 오리지널 반으로 갖다 주세요,네 30분 정도 걸릴 겁니다,식사배달요청
여기 짜장면 1개랑 짬뽕 곱빼기 1개 배달되나요?,네 가능합니다.,식사배달요청
치킨 주문 좀 하려는데요,네 말씀 해주세요,식사배달요청
네. 그러면 프라이드 2마리 부탁드립니다.,네. 30분 정도 걸릴 거 같아요.,식사배달요청
프라이드 1마리 반도 가능할까요?,죄송합니다. 저희는 반 마리는 판매를 안 해서요.,식사배달요청
짜장면 하나요,죄송하지만 만 원 이상 배달 가능합니다,식사배달요청
그러면 탕수육으로 주세요,네. 대신 만두 서비스 드릴게요.,식사배달요청
짬뽕이랑 깐풍기 배달해주세요.,깐풍기는 재료가 다 떨어졌습니다.,식사배달요청
제일 큰 거로 한판 주세요,네 패밀리 한판 주문입니다,식사배달요청
그럼 기본 하나 곱빼기 하나 가져다주세요,네 알겠습니다,식사배달요청
매장 위치가 어떻게 되시는 거예요?,신서혁신도시 비전 스퀘어 바로 맞은편에 은행 있는 건물 뒤편에 있습니다,식사배달요청
그러면 500원짜리 하나만 더 주세요,네 기본 한 개에 작은 피클 한 개 추가하시고요,식사배달요청
그게 라지 사이즈인 거죠 말씀하시는 게?,네,식사배달요청
짜장면에 오이도 들어가나요?,오이랑 완두콩 다 들어갑니다,식재료문의
이베리코 포크가 돼지고기인가요?,네 스페인 돼지고기요,식재료문의
어떤 치즈에요?,최고급 임실치즈에요,식재료문의
새우 탕수육은 새우로 만든 거예요?,네 새우로 튀긴 겁니다,식재료문의
깐풍 육운 닭고기로 하나요?,아니요 돼지고기입니다,식재료문의
피자 치즈는 뭐 써요?,모차렐라 치즈 자연산 치즈입니다,식재료문의
뭐가 들어가죠? 슈프림,하얀 소스입니다,식재료문의
밀가루 반죽이 얇은가요?,네 두껍지 않습니다,식재료문의
불갈비는 돼지고기로 돼 있나요?,소고기입니다,식재료문의
그러면 그 안에 그 닭고기하고 야채는 어떤 거 들어가요?,야채는 당근이랑 감자랑 양파랑 이런 거 들어가고요 떡이랑 당면같이 들어가요,식재료문의
닭고기는 국내산 쓰나요?,국내산입니다,식재료문의
뭐 야채는 어떤 게 들어가요 사장님?,전화가 계속 들어오기 때문에 설명을 못 드리거든요 책자 보면 다 나와 있어요,식재료문의
피자 옆에 치즈 테두리에 들어가는 거는?,치즈 들어가면 가격은 더 세져요,식재료문의
그거는 도우 두께 정할 수 있나요?,네 정할 수 있어요,식재료문의
블랙 앵거스는 어떤 거 들어가지요?,고깃덩어리 들어가면서 랍스터 살이 들어가요,식재료문의
가공한 거네요 고기 자체가 아니고,이거는 가공해가지고 들어간 거라서 가격은 2만 원대고요,식재료문의
불고기 피자는 뭐 들어가요?,불고기 피망 버섯하고 양파 불고기 이렇게 들어가고요,식재료문의
도우 두께나 그런 거는요?,그거는 정하실 수 있어요,식재료문의
슈퍼수프림은 위에 뭐 들어가요?,슈퍼수프림은 피망 햄이 전체적으로 깔리면서 옥수수 파인애플 들어가고요,식재료문의
혹시 도우 두께라든지 치즈는?,저희 도우는 얇은 편인데 오리지널은 얇고 치즈 크러스트는 빵 끝에 치즈 들어가서 도톰하고요,식재료문의
해산물은 어떤 거 들어가요?,홍합하고 바지락하고 여러 가지 넣어요,식재료문의
지금 안에 들어가는 게 돼지고기죠?,예예,식재료문의
그러면 쟁반 야끼 가락국수에 해물이 어떤 거 들어가는지 여쭤보려고 하는데,저는 잘 몰라요,식재료문의
고기짬뽕은 돼지고기 들어가나요?,네 고기짬뽕은 돼지고기고 차돌박이 짬뽕은 소고기고요,식재료문의
네 제가 지금 전단지 보고 전화드리는 건데 삼선짬뽕에 들어가는 해물은 어떤 거 있어요?,새우부터 시작해서 여러 가지 들어가요,식재료문의
해물짬뽕에 어떤 거 들어가요?,해물 여러 가지 들어가요,식재료문의
탕수육에 들어가는 고기가 돼지고기죠?,어느 집이든지 다 돼지고기입니다,식재료문의
큐브 피자인가? 새로 나온 거예요?,나온 지 좀 됐습니다,신메뉴문의
위치는 어디쯤 되세요?,효성타운하고 반야월 사이에 있어요,앱문의
배달 앱도 있는가 예?,배달 앱은 안 돼요,앱문의
여기도 배달의 민족으로 하는 거예요?,네,앱문의
앱으로 주문도 할 수 있나요?,앱으로도 주문 가능하세요 배달의 민족에 있고요,앱문의
앱으로 배달하면 할인되고 그런 거 있어요?,앱으로 배달하는 거도 다 똑같이 통신사나 삼성카드가 할인이 돼요,앱주문할인문의
소스는 별도 구매인가요?,"네, 별도 구매입니다.",양념소스별도구매문의
소스 추가 구매하고 싶어요,매운 양념 마요네즈 머스터드소스 준비되어있습니다,양념소스요구
찍어 먹을 양념소스도 주세요,네 알겠습니다,양념소스요구
치킨 무는 빼고 소스로 바꿀 수 있을까요?,소스는 추가로 결제하셔야 합니다.,양념소스요구
저 혼자 피자 한판 먹을 수 있을까요?,저희 피자 맛있어서 가능합니다,양에대한질문
3명이 먹기엔 부족할까요?,성인 3명이 먹기엔 부족할 수 있습니다,양에대한질문
어린아이가 한 그릇 다 먹을 수 있나요?,네 적당합니다,양에대한질문
4학년 23명 먹을라 카면은 몇 판 정도 하면 되나요?,초등학생이면 한 판으로 두세 명이 먹으면 맞아요,양에대한질문
라지 사이즈로 몇 조각 들어가죠?,12인치 박스에 8조각 들어가요,양에대한질문
시키면 1.25리터인가 예?,네,양에대한질문
라지 한판에 몇 조각 나와 예?,10조각 나옵니다,양에대한질문
피자를 3명이 먹을 건데 사이즈는 어떤 거 하면 좋겠어요?,라지 하나 하시면 될 거예요 좀 많이 드시면 미디엄 두 판 하셔도 되고요,양에대한질문
35000원이면은 한 몇 인분 정도 될까요?,35000원은 4사람 정도 28000원은 두세 사람 정도요,양에대한질문
사이즈는 한 사이즙니까?,양장피가 소자 28000원 대자 35000원 두 가지 있습니다,양에대한질문
중자가 몇 명 정도 먹을 수 있나요?,서너 명이요,양에대한질문
탕수육은 어떤 사이즈 있어요?,소 중 대로 11000원 13000원 16000원 이렇게 있어요,양에대한질문
퐁듀 붉은 피잔구? 그거 라지 사이즈는 몇 명 먹을 수 있어요?,삼사 인용입니다. 여덟 조각 두 조각씩 먹으면 네 명 먹을 수 있습니다,양에대한질문
갈릭 스테이크 라지는 몇 명 정도 먹는데요?,두 조각씩 먹으면 네 명이서 먹습니다,양에대한질문
아 제가 잘 몰라서 카는데 초등학교 일학년 되는 애들은 그거 시키면 몇 명이 먹어요?,거의 네 명 정도 먹을 수 있다고 보시면 돼요,양에대한질문
4인 가족이 먹으려면 뭐 어떻게 시켜야 돼요?,라지로 여덟 조각 나가긴 나가는데 좀 작은 여덟 조각이에요,양에대한질문
4인 가족이 먹으려면 라지 한 판으로 가능할까요?,성인 같으면 네 명 먹기는 좀 모자랄 겁니다,양에대한질문
그러면 4인 가족이 먹으려고 하는데 사이즈는 어느 정도로 주문을 해야 되나요?,라지 하시면 되세요,양에대한질문
벌집 피자는 몇 명 정도 먹을 수 있어요?,한두 세명 정도요,양에대한질문
라지 한 판에 몇 명 정도 먹을 수 있어요?,보통 라지 사이즈는 여덟 조각 나오거든요. 사람마다 드시는 양이 다르다 보니까,양에대한질문
아 그러면 가격대가 한 4인 가족이 먹으려면 어떤 걸 시켜야 돼요?,찜닭 아니면 튀김닭 하면 됩니다,양에대한질문
4인이 먹으려고 하는데 한 몇 마리 시키면 돼요?,한 세트 하면 돼요,양에대한질문
"그게 기준이 2, 3인분인가요?","순살 같은 경우에는 2, 3인분 하고 뼈 닭 같은 경우에는 3, 4인분 두 마리에요",양에대한질문
그럼 몇 명이 먹을 수 있어요?,그게 두 마리예요,양에대한질문
아 그러면 3인 가족이 먹으려고 하면 얼마나 시켜야 하나요?,한 마리 먹어야 합니다 2만 천 원입니다,양에대한질문
그러면 저 4인 가족이 먹으려고 하면 어떤 걸 시키면 되나요?,한 마리 시키면 돼요,양에대한질문
그거는 몇 인분이에요?,주로 술안주로 드시기 때문에 네 명 정도 드실 수 있어요,양에대한질문
아 그거 시키고 다른 거 또 시켜야 돼요?,예예,양에대한질문
그러면 탕수육이 4인 가족이 먹을 수 있나요 세트 메뉴로 시키면?,탕수육 보통이 17000원인데 그거 시키는 게 나을 거 같아요,양에대한질문
4인이 먹을 수 있을까요?,네 명 드시기엔 세트가 양이 적어요 네 명 드시려면 탕수육 중자는 가야죠,양에대한질문
엘지 멤버십 할인되나요?,죄송한데 저희는 그런 거 안돼요,엘지멤버십할인문의
지금 영업하고 계시나요?,네 영업 중입니다,영업시간문의
몇 시에서 몇 시까지 영업을 하시는데 예?,보통 문 여는 시간 12시에서 12시 반이고 저녁시간은 10시까지 합니다,영업시간문의
영업은 몇 시부터 하시는데 예?,11시부터 저녁 10시까지 해요,영업시간문의
배달은 몇 시까지 돼요?,원래 12시까지 하는데 오늘은 9시까지요,영업시간문의
배달은 몇 시까지 되나요?,열시 반까지 됩니다,영업시간문의
네 수고하십니다 죄송하지만 배달을 몇 시부터 몇 시까지 하시나요?,저희들이 오전에는 열한시부터 고요 저녁에 마감은 한신데 보통 한 12시 한 40분 정도 되면 끝나요,영업시간문의
네 수고하십니다 저 죄송하지만 배달 몇 시부터 몇 시까지 하나요?,우리 열두시부터 열한시까지 해요,영업시간문의
죄송하지만 영업은 몇 시부터 몇 시까지 하세요?,열시까집니다 아침 열한시부터 밤 열시까지,영업시간문의
네 수고하십니다 뭐 여쭤볼 게 있는데요 배달이 몇 시부터 몇 시까지인가요?,저희 열한시 반부터 열한시까진데요,영업시간문의
그러면 배달을 몇 시부터 몇 시까지?,배달은 열한 시부터 해요,영업시간문의
혹시 그럼 내일 주문을 미리 예약할 수 있나요?,죄송합니다만 당일 예약만 가능합니다,예약배달문의
배달시키려 하는데 바로 배달말고 예약 배달 가능한가요?,네 몇 시까지라고 말씀해주시면 가능하세요,예약배달문의
그 면 점심때 들어가려면 그 전날 전화드려야 되겠다 그러지 예?,네 예약해놓으면 그 시간에 맞춰서 보내드리죠,예약배달문의
제가 지금 결제해놓으면 이따가 배달해주실 수 있죠?,네,예약배달문의
"일곱, 여덟, 아홉 판 정도 주문하려면 언제쯤 전화드리면 되지 예?",한 40분 정도 전에 전화하시면 돼요,예약주문문의
아 혹시 이곳 개점시간이 언젠가요?,오전 10시입니다,오픈시간문의
몇 시부터 해요?,오전 열한 시부터입니다,오픈시간문의
오픈은 몇 시에 해요?,열두 시에요,오픈시간문의
몇 시에 오픈하세요?,열한 시요,오픈시간문의
그럼 거기 낮에 몇 시에 오픈해요 내일?,낮 열두 시요,오픈시간문의
저 혹시 오픈 시간이 어떻게 돼 예?,열두 시부터 저녁 열두 시까지 해요,오픈시간문의
네 저희 토요일에 놀러 갈 때 하려고 하는데 아침에 몇 시에 문 열어요?,내일 열두시에 엽니다,오픈시간문의
아침 몇 시에 문 열어요?,일요일이 쉬는 날이에요.,오픈시간문의
불고기는 그러면 소고기를 쓰나요? 한우 국산이에요?,호주산입니다,원산지문의
저기 그러면 닭고기는 국내산 쓰나요?,네네 국내산이에요,원산지문의
불고기는 그러면 국내산은 아니죠?,네 그런 건 아니고 갈아가지고 동글동글하게 만들어놨어요,원산지문의
아 네 그러면 탕수육 돼지고기가 국산이죠?,저는 잘 모르겠습니다,원산지문의
국내산 쓰나요 아니면 수입품 쓰나요?,국내산 써요,원산지문의
전부 국산이에요?,돼지는 국산이고 차돌박이는 미국산이에요,원산지문의
그럼 국내산 쓰나요?,예 돼지고기는 다 국내산입니다,원산지문의
네 그리고 콜라 하나만 추가해주세요,네 알겠습니다,음료주문
콜라도같이 가져다주세요,네 알겠습니다,음료주문
아 1리터 콜라 한병도같이 가져다주세요,네 모두 3만 원 되겠습니다,음료주문
콜라 하나 추가해주세요,22500원입니다,음료주문
콜라 1개 추가할게요,네 감사합니다,음료주문
그럼 사이다 큰 사이즈로 부탁드려요,네 금방 배달해드리겠습니다,음료주문
콜라 큰 사이즈로 되나요?,아니요 콜라는 큰 사이즈가 없습니다,음료주문
아 콜라도 작은 거 하나 주세요,네 알겠습니다,음료주문
네 콜라는 따로 주문해야 하나요?,아니요 서비스로 같이 나갑니다,음료주문
어떤 종류 있나요?,"콜라, 사이다, 환타, 레모네이드 있습니다.",음료주문
그러면 500짜리 하나 주세요,네 500짜리로 요,음료주문
그러면 콜라 작은 거 두 개 주세요,네,음료주문
페트병인가요?,네 페트병이요,음료주문
혹시 음료수는 어떻게 돼요?,음료수는 따로 추가하셔야 됩니다,음료주문
음료수는 따로 주문해야 되지요?,두 판 하시면 금액이 3천 원이 할인되고 콜라가 하나 나가거든요,음료주문
작은 게 하나 따라오고 큰 거는 추가 비용을 내야 되는 거죠?,네,음료추가가격문의
페트병은 얼마인가요?,1800원이요,음료추가가격문의
그럼 콜라 추가로는 얼마예요?,콜라가 큰 게 2000원이거든요 사이다도 2000원이고요,음료추가가격문의
만약에 콜라도 추가로 주문하면 배달해주시는가요?,원래 기본으로 작은 게 나가고 천원 추가하시면 사이즈 업그레이드해드려요,음료추가문의
너무 오래 걸리는데 빨리 부탁드릴게요,네 알겠습니다,음식이늦게배달올때
전단지에 있는 만 원 이벤트 아직도 진행 중인가요?,네 진행하고 있습니다,이벤트기간문의
사이드 메뉴 할인행사하나요,지금 진행 중인 행사는 없습니다,이벤트기간문의
혹시 후기 이벤트 아직도 진행하시나요?,갈릭 소이 치킨에 한해서 진행 중입니다,이벤트기간문의
이벤트 할 거면 충분한 양을 가지고 판매하셔야 되는 거 아닌가요?,평소보다 재료를 2배 정도 준비했는데 워낙 많은 분들이 주문을 하셔서 금방 소진되었습니다,이벤트메뉴컴플레인
먹고 나서 후기 작성할 테니 감자튀김도 부탁드리겠습니다,맛있게 해서 금방 가져다드릴게요,이벤트서비스메뉴요청
리뷰 쓰면 서비스 있나요?,네 있습니다.,이벤트서비스문의
후기 쓴다고 하면 감자튀김 서비스로 주시는 거 맞죠?,네,이벤트서비스문의
그럼 가에 치즈 크러스트 들어가는 것도 선택이 되예?,그럼요,재료선택문의
네 쿠폰 사용하려고 하는데요,치킨만 쿠폰 가능하고 소스는 별도 지불하셔야 해요,적립쿠폰사용
쿠폰 사용이 가능한가요?,이벤트 중이라 쿠폰 사용은 불가능하세요,적립쿠폰사용
쿠폰 40장 모았는데 사용 가능한가요?,네 가능합니다,적립쿠폰사용방법문의
쿠폰은 몇 장 모으면 쓸 수 있어요?,30장모이면 음식 하나 공짜로 드려요,적립쿠폰사용방법문의
배달의 민족 보니까 쿠폰 있던데 그거는 어떻게 써요?,그건 어플 상에서 선결제 할 때 쓰실 수 있는 쿠폰이에요,적립쿠폰사용방법문의
쿠폰은 어떻게 쓰는데요?,나중에 콜라 주문하실 때 콜라 쿠폰 쓸 거라고 말씀을 해주고 배달해주시는 기사님한테 그 쿠폰을 전해주시면 됩니다,적립쿠폰사용방법문의
그러면 그거 10개 모으면은 또,네 5개 모으면 사이드 나가고 8개 모으면 오리지널 미디엄 피자 12개는 오리지널 라지 피자 이렇게 나가거든요,적립쿠폰사용방법문의
쿠폰을 준다고도 되어 있던데 조건이 어떻게 되는 거예요?,배달 갈 때마다 금액에 맞게 드리는데 모아두셨다가 나중에 쓰시면 돼요. 다음에 주문하실 때 미리 말씀해주셔야 돼요,적립쿠폰지급조건문의
혹시 젓가락은 대나무 젓가락 주시나요?,아니요,젓가락종류문의
젓가락은 혹시 대나무 젓가락 사용해 주시나요?,아니요 그런 건 안 씁니다,젓가락종류문의
제휴카드 추가 할인은 안되죠?,중복 할인은 안됩니다,제휴카드추가할인
제휴카드 추가 할인은 안돼요?,중복 할인은 안돼요,제휴카드추가할인
종이컵도 따로 오는가요?,아뇨 종이컵은 따로 없는데 없으면 종이컵 한 줄 같이 나가면 돼요,종이컵문의
아 순살로 부탁드릴게요,네 주문 감사합니다,주문정정
콜라 말고 사이다로 주세요,그럼 사이다로 바꿔서 드리겠습니다,주문정정
여기 이태원동 260번지인데 2인 탕수육 세트로 갖다 주세요,네 2인 탕수육 세트 이만 원입니다,주소지로배달요청
네 그럼 주문할게요 주소는 A 아파트 104동 102호입니다,네 A 아파트 104동 102호요,주소지로배달요청
그럼 서울대학교 병원 1층 안내센터로 배달 가능한가요?,네 가능합니다,주소지로배달요청
그러면 서울특별시 강서구 105-12 번지로 배달해주세요,지금은 점심시간 때라 40분 정도는 기다리셔야 돼요,주소지로배달요청
네 그리고 저희 집 현관 비번 3434이에요,네 알겠습니다,주소지로배달요청
여기 동그라미 아파트 103동 103호인데요,네 103동 103호요,주소지로배달요청
안녕하세요 여기 동산아파트 203동 201호요.,네 주문하세요.,주소지로배달요청
주소는 팔팔로 171입니다,네 감사합니다,주소지로배달요청
OO 아파트 OO동 OO 호에 짬뽕 하나 배달되나요?,네 짬뽕 하나 배달 가능합니다,주소지로배달요청
주소는 서울시 성동구 성수동 1가 99-99 1001입니다,네 감사합니다,주소지로배달요청
네 여기 대성스카이 백이 동 천오백삼 호인데 우리 고구마 피자 배달되죠?,네,주소지로배달요청
예 대성스카이렉스 백이 동 천오백삼 호인데 프라이드 한 마리만 배달해주세요,배달 거기까지 안 합니다,주소지로배달요청
주차장 있나요?,네 건물 뒤에 있어요,주차장문의
주차는 바로 옆 도로변에 되는가 예?,네 바로 싣고 나가실 수 있게 포장해 놓을게요,주차장문의
주차는 어디 하면 돼요?,아파트 상가 주차장에 하시면 됩니다,주차장문의
그럼 밥반찬으로 먹으면 어떨까요,그럼 괜찮습니다,취향에따른메뉴추천요구
아이들도 먹을 수 있나요?,약간 매울 수는 있는데요,취향에따른메뉴추천요구
아이들과 먹기에 어떤 피자가 좋을까요?,콤비네이션 피자와 불고기 피자 추천드려요,취향에따른메뉴추천요구
어깨 피자 카는 게 있는데 혹시 야채 많이 들어간 거는 어떤 거예요?,어깨 피자는 야채가 많이 안 들어가요 이거는 9가지 토핑 맛을 볼 수 있게 되어있는 겁니다,취향에따른메뉴추천요구
초등학생 고학년은 피자 어떤 종류가 잘 나가요?,"초등학생들은 거의 고구마, 포테이토, 불고기, 콤비네이션 이렇게 많이 나가요",취향에따른메뉴추천요구
선생님은 따로 한 판 하까 싶은데 선생님 거는 어떤 거 나가요?,치즈브러썸이라고 치즈가 많이 들어가고 안창살 들어간 거 추천드려요,취향에따른메뉴추천요구
고등학생 간식으로 피자 어떤 거 잘 나가요?,학생들은 포테이토나 슈림프 골드 그런 거 잘 나가요,취향에따른메뉴추천요구
양장피하고 또 비슷한 거 뭐 있어요?,고추잡채 팔보채 유산슬도 있어요,취향에따른메뉴추천요구
애들 초등학생들 뭐 좋아하는데요?,"갈릭 스테이크도 괜찮고요, 치킨 바비큐 콤비네이션도 있습니다",취향에따른메뉴추천요구
새우나 육류 좋아해요,새우 들어가는 건 블랙타이거 슈림프 있고 고기 많이 들어가는 글램핑 바비큐 피자 있어요,취향에따른메뉴추천요구
네 초등학교 3학년인데 피자 추천하는 메뉴가 있어요?,보통 기본적인 피자에서는 불고기 슈퍼수프림 많이 나가고 있어요,취향에따른메뉴추천요구
선생님은 어떤 거 많이 나가죠? 어른들 좋아하는 거,선생님은 체더치즈나 리치골드 해서 하나는 포테이토 하나는 고구마 그러면 좋아하시거든요,취향에따른메뉴추천요구
종류는 어떤 게 많이 나가나요? 여자 선생님이거든요,선생님은 보통 고구마나 새우 들어가는 블랙타이거 슈림프도 있고 고기와 랍스터 살 들어가는 블랙 앵거스도 있고요,취향에따른메뉴추천요구
그러면 4인 가족이면 탕수육 하나에 딴 거 어떤 거 시켜요?,짜장면 짬뽕 해물짬뽕 사람마다 좋아하시는 게 다 달라요,취향에따른메뉴추천요구
카카오페이나 삼성페이도 되나요?,카카오페이는 안되고 삼성페이는 됩니다,카카오페이삼성페이결제
카카오페이는 결제가 되는가요?,그거는 본인들이 인터넷 들어가셔서 하셔야 합니다,카카오페이삼성페이결제
지금 주문하려는데요 영업시간이 몇 시인가요?,저희 매장은 새벽 3시까지 영업합니다,클로징시간문의
거기 몇 시까지 영업하나요?,밤 10시까지 영업합니다,클로징시간문의
몇 시까지 주문 가능한가요?,새벽 1시까지 가능합니다.,클로징시간문의
주문 몇 시까지 전화받으세요?,10시까지 가능하세요,클로징시간문의
여긴 몇 시까지 해요?,네 11시 30분까지 주문받습니다,클로징시간문의
몇 시에 문 닫나요?,9시 반이나 10시쯤 되면 닫을 것 같습니다,클로징시간문의
몇 시까지 하세요?,9시까지요,클로징시간문의
몇 시에 문 닫아요?,8시 반까지요,클로징시간문의
몇 시에 마쳐요?,네 8시까지 합니다,클로징시간문의
몇 시까지 하세요?,마지막 주문이 9시에요,클로징시간문의
네 수고하십니다 저 죄송하지만 배달은 몇 시까지 하나요?,열두시부터 열한시까지요,클로징시간문의
그러면 저녁에는 몇 시까지 하나요?,저녁에는 내일 좀 일찍 마쳐야 돼서 한 열시까지 밖에 안 합니다,클로징시간문의
아 그러면 몇 시까지 배달하시는데요?,예 보통 한 20분 정도 되면 끝냅니다,클로징시간문의
몇 시에 문 닫아요?,보통은 한 여덟 시 정도 닫아요,클로징시간문의
그러면 배달 몇 시까지 해요?,아 지금 시키셔야 돼요,클로징시간문의
9시까지 전화하면 돼요?,대부분 8시 반까지 주문받습니다,클로징주문시간문의
주문 전화는 몇 시까지 해야 되나요?,8시 반까지 주문받아요,클로징주문시간문의
주문 전화 몇 시까지 해야 되는데요?,8시까지 배달을 해드릴 수 있습니다,클로징주문시간문의
그럼 마지막 주문은 몇 시까지 하면 돼요?,마지막 주문이 9시여서 그전에 결제하시면 됩니다,클로징주문시간문의
슈림프 핫치킨 골드 피자 이건 치킨이에요?,"네 이거는 새우와 핫치킨, 베이컨, 브로콜리가 올라가는 거예요",토핑문의
